KIC,Porb
9941387,27.66
9944201,0.722
9944421,7.095
9945280,1.303
9962595,11.374
9963461,10.582
9966115,8.947
9967884,5.428
9971475,5.357
10006096,70.516
10019399,11.806
10019763,32.505
10020423,7.448
10031409,4.144
10068383,7.305
10068919,43.562
10091257,3.404
10091703,710.5
10095512,6.017
10129482,0.846
10155080,3.861
10157573,5.116
10158418,5.007
10189523,1.014
10198109,17.919
10215422,24.847
10215869,5.017
10223616,29.125
10232123,1.344
10257903,0.859
10259029,7.061
10264202,1.035
10268809,24.709
10268903,1.104
10274244,13.684
10275074,4.363
10287248,4.722
10292465,1.353
10294608,3.709
10330495,18.06
10338279,5.66
10351767,0.635
10352938,6.472
10384962,2.879
10385682,6.207
10395543,3.687
10407221,0.934
10422852,1.399
10454401,12.181
10464078,19.404
10464666,131.734
10483644,5.111
10485250,16.47
10487119,6.749
10489521,3.225
10489539,19.764
10490960,5.682
10518735,19.515
10534155,4.327
10547685,2.777
10551346,1.428
10555365,5.802
10556578,1.253
10593759,6.265
10599397,0.937
10601549,1.464
10602291,20.927
10613718,1.176
10614158,8.925
10616571,23.673
10616656,25.285
10659313,15.249
10676927,1.031
10710755,4.817
10711551,10.692
10711646,0.738
10711913,19.408
10728219,3.372
10735988,1.927
10743597,81.195
10751515,56.406
10753734,19.407
10794242,7.144
10798838,62.128
10816107,2.162
10848459,3.474
10857519,2.053
10874926,11.703
10879213,1.337
10904857,3.121
10923260,7.436
10925104,8.041
10935310,4.129
10936427,14.361
10960995,3.117
10965963,6.64
10979716,10.684
10987439,10.675
10991989,0.974
10992733,18.526
11021252,3.269
11044779,15.609
11045383,41.167
11069176,15.38
11073223,11.579
11076176,0.7
11099351,2.378
11100657,8.344
11124509,8.893
11134079,1.261
11147276,3.133
11147460,4.108
11182260,1.292
11187837,17.605
11189127,2.672
11193447,0.626
11198723,6.84
11200405,4.64
11200773,2.49
11228612,2.98
11231334,4.157
11232745,9.634
11233911,4.96
11234677,1.587
11235323,19.668
11250867,2.253
11252617,4.478
11285136,2.368
11287726,4.738
11303811,1.69
11347875,3.455
11350389,1.513
11357192,186.517
11358392,0.985
11391181,8.617
11391667,1.084
11403216,4.053
11404644,5.903
11404698,0.59
11408935,15.995
11449844,38.479
11455484,6.143
11455795,1.057
11457191,2.298
